gene_id,L1,L2,L3,R1,R2,R3
MSTRG.1|Solyc00g005000.3,11,24,16,18278,20833,19792
Solyc00g005040.3|Solyc00g005040.3,26,28,19,98,151,127
Solyc00g005080.2|Solyc00g005080.2,3,0,2,3,0,0
Solyc00g005092.1|Solyc00g005092.1,1,0,0,0,0,0
Solyc00g005094.1|Solyc00g005094.1,7,13,7,9,0,0
MSTRG.2|Solyc00g005050.3,2115,2486,1846,4499,5916,5136
Solyc00g005890.3|Solyc00g005890.3,0,4,0,8,9,11
MSTRG.3,1669,983,2730,3353,4889,4770
MSTRG.5|Solyc00g005840.3,19155,22189,16942,471,552,542
MSTRG.4,1575,1453,1008,1853,2543,2365
MSTRG.6,479,324,796,897,1195,1239
MSTRG.7|Solyc00g006490.3,2954,3180,2403,5830,7961,6796
MSTRG.8|Solyc00g006800.3,3552,3558,2454,107202,121454,126795
MSTRG.9|Solyc00g006805.1,138,257,200,234,250,429
MSTRG.10|Solyc00g006810.3,11039,11968,9467,909,1044,1010
MSTRG.11|Solyc00g006820.3,3446,3845,2552,863,1100,1051
MSTRG.12|Solyc00g006830.3,4257,4396,3226,12666,17488,13517
Solyc00g007550.1|Solyc00g007550.1,1,0,0,10,13,8
Solyc00g007600.2|Solyc00g007600.2,8,14,25,0,0,6
MSTRG.13,1087,1013,1160,3865,4518,4747
MSTRG.14|Solyc00g006867.1,27,17,3,16,30,12
MSTRG.16|Solyc00g008570.2,101,41,82,194,262,179
MSTRG.17|Solyc00g008580.1,2,3,0,9,8,5
MSTRG.15,4187,2021,2196,6798,10718,8789
Solyc00g009030.2|Solyc00g009030.2,9,3,2,17,30,33
Solyc00g009040.3|Solyc00g009040.3,39,27,16,91,90,130
MSTRG.19|Solyc00g009050.2,147,159,100,409,534,495
MSTRG.20|Solyc00g009060.3,2458,2873,2299,2759,3357,3122
MSTRG.23|Solyc00g009080.3,1510,1622,1544,2468,3382,3361
MSTRG.22|Solyc00g009090.3,288,184,125,5306,6310,5691
MSTRG.18|Solyc00g009020.3,23956,26648,19183,60998,78839,79607
MSTRG.24|Solyc00g009100.3,13939,17761,13675,1973,2160,2102
MSTRG.26|Solyc00g009141.1,581,725,760,2628,3045,3652
MSTRG.25,149,76,267,232,407,396
MSTRG.27,63,25,149,140,200,273
MSTRG.28,48,40,52,153,0,264
MSTRG.48|Solyc00g009110.3,9256,9259,7201,23565,27534,24658
MSTRG.48|Solyc00g009120.3,157,939,1206,2073,5908,4735
MSTRG.48|Solyc00g009140.3,3168,3135,1941,865,1621,717
