"","L1","L2","L3","R1","R2","R3"
"MSTRG.1|Solyc00g005000.3",17.9835072591625,35.289600445397,32.2779271868751,12435.8142067163,10930.7522155741,11160.7271474778
"Solyc00g005040.3|Solyc00g005040.3",42.506471703475,41.1712005196299,38.3300385344142,66.6763208369731,79.2273596962359,71.6154177308851
"Solyc00g005080.2|Solyc00g005080.2",4.9045928888625,0,4.03474089835939,2.04111186235632,0,0
"Solyc00g005092.1|Solyc00g005092.1",1.6348642962875,0,0,0,0,0
"Solyc00g005094.1|Solyc00g005094.1",11.4440500740125,19.1152002412567,14.1215931442579,6.12333558706896,0,0
"MSTRG.2|Solyc00g005050.3",3457.73798664806,3655.41444613571,3724.06584918572,3060.98742291369,3104.03350968829,2896.19516114824
"Solyc00g005890.3|Solyc00g005890.3",0,5.88160007423284,0,5.44296496628352,4.72216051169618,6.20291019716328
"MSTRG.3",2728.58851050384,1445.40321824272,5507.42132626057,2281.28269149358,2565.18252685362,2689.8074218608
"MSTRG.5|Solyc00g005840.3",31315.825595387,32626.7060117881,34178.2901500024,320.454562389942,289.625844717366,305.634302442045
"MSTRG.4",2574.91126665281,2136.49122696508,2033.50941277313,1260.72676031542,1334.27268680482,1333.6256923901
"MSTRG.6",783.099997921712,476.40960601286,1605.82687754704,610.29244684454,626.997979052993,698.673248571391
"MSTRG.7|Solyc00g006490.3",4829.38913123327,4675.87205901511,4847.74118937881,3966.56071917912,4177.01331484592,3832.27069999288
"MSTRG.8|Solyc00g006800.3",5807.0379804132,5231.68326603011,4950.62708228697,72937.0912894408,63725.0314208386,71499.8180408471
"MSTRG.9|Solyc00g006805.1",225.611272887675,377.89280476946,403.474089835939,159.206725263793,131.171125324894,241.913497689368
"MSTRG.10|Solyc00g006810.3",18047.2669667177,17597.7474221047,19098.4460423842,618.456894293965,547.770619356757,569.539936284992
"MSTRG.11|Solyc00g006820.3",5633.74236500672,5653.68807135632,5148.32938630658,587.159845737835,577.152951429533,592.6598742926
"MSTRG.12|Solyc00g006830.3",6959.61730929588,6463.87848158189,6508.03706905369,8617.57428286838,9175.68255872697,7622.24883045964
"Solyc00g007550.1|Solyc00g007550.1",1.6348642962875,0,0,6.8037062078544,6.82089851689448,4.51120741611875
"Solyc00g007600.2|Solyc00g007600.2",13.0789143703,20.5856002598149,50.4342612294924,0,0,3.38340556208906
"MSTRG.13",1777.09749006451,1489.51521879947,2340.14972104845,2629.63244933573,2370.52457687148,2676.83770053946
